participant;percentage;time;pos_x_right;pos_y_right;dil_right;pos_x_left;pos_y_left;dil_left;brightness;fov;trial;;
Marion;30;0;0.5;-0.03710938;0;0.5;-0.03710938;0;1;-1;1;;
Marion;30;0.02;0.5;-0.03710938;-1;0.5;-0.03710938;-1;1;-1;1;;
Marion;30;0.04;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.06;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.08;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.09999999;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.12;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.14;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.16;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.18;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.2;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.22;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.24;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.26;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.28;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.3;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.32;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.34;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.36;0.5;0.046875;-1;0.5;0.046875;-1;1;-1;1;;
Marion;30;0.38;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.4;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.42;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.44;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.46;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.48;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.5;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.52;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.54;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.56;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.58;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.6;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.62;0;0;-1;0;0;-1;1;-1;1;;
Marion;30;0.64;0;0.25;-1;0;0.25;-1;1;-1;1;;
Marion;30;0.66;0;0;-1;0;0;-1;1;-1;1;;
Marion;30;0.68;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.7;-1;0;-1;-1;0;-1;1;-1;1;;
Marion;30;0.72;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.74;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.76;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.78;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.8;1;-0.25;-1;1;-0.25;-1;1;-1;1;;
Marion;30;0.82;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.84;0;0;-1;0;0;-1;1;-1;1;;
Marion;30;0.86;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.88;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.9;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.92;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.94;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.96;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;0.98;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.02;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.04;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.06;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.08;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.1;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.12;-2;0;-1;-2;0;-1;1;-1;1;;
Marion;30;1.14;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.16;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.18;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.2;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.22;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.24;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.26;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.28;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.3;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.32;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.34;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.36;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.38;0;0.0625;-1;0;0.0625;-1;1;-1;1;;
Marion;30;1.4;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.42;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.44;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.46;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.48;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.5;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.52;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.54;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.56;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.58;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.6;0;0;-1;0;0;-1;1;-1;1;;
Marion;30;1.62;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
